id,tag_name,LOC,dayDifference, dayDifferenceHours
16359900,jedis-3.1.0-m1,12194,21 days,3:51:24
15918832,jedis-2.9.3,11884,22 days,19:43:19
15621404,jedis-2.9.2,11884,21 days,8:36:21
15073613,jedis-2.10.2,11884,25 days,23:31:33
14691187,jedis-2.10.1,11884,27 days,14:42:20
14383390,jedis-3.0.0,11845,4 days,16:05:11
14383347,jedis-2.10.0,11845,105 days,6:56:24
14113449,jedis-3.0.0-m1,11809,847 days,8:51:39
4097891,jedis-2.9.0,10900,129 days,16:06:53
2811545,jedis-2.8.1,10519,111 days,23:15:18
2173701,jedis-2.8.0,10237,209 days,3:59:54
1229839,jedis-2.7.2,9483,29 days,21:41:56
1103530,jedis-2.6.3,9070,88 days,4:43:15
817522,jedis-2.6.2,8897,43 days,1:32:27
713681,jedis-2.6.1,8888,57 days,17:11:24
572632,jedis-2.6.0,8634,48 days,5:00:27
469848,jedis-2.5.2,8946,66 days,23:34:22
346354,jedis-2.5.1,8547,1 day,22:54:33
342375,jedis-2.5.0,8524,75 days,23:35:34
220847,jedis-2.4.2,7503,22 days,18:02:28
189622,jedis-2.4.1,7472,5 days,7:48:15
183185,jedis-2.4.0,7480,6 days,23:32:30
174234,jedis-2.3.1,7416,1 day,23:41:48
